gene_id	cell_type	label
ABCC1	CD34	1
ALDH1A1	CD34	1
BMI1	CD34	1
CD164	CD34	1
CD34	CD34	1
CD38	CD34	1
CXCR4	CD34	1
ETV6	CD34	1
FLT3	CD34	1
GFI1	CD34	1
GFI1B	CD34	1
HOXB4	CD34	1
JAK2	CD34	1
KIT	CD34	1
LMO2	CD34	1
MYB	CD34	1
NOTCH1	CD34	1
PROM1	CD34	1
PTEN	CD34	1
RUNX1	CD34	1
STAT5A	CD34	1
STAT5B	CD34	1
TGFB1	CD34	1
ZBTB16	CD34	1
BCL11A	GM12878	1
CD19	GM12878	1
CD1C	GM12878	1
CD22	GM12878	1
CD27	GM12878	1
CD320	GM12878	1
CD40	GM12878	1
CD81	GM12878	1
CD86	GM12878	1
CR2	GM12878	1
EBF1	GM12878	1
FOXO1	GM12878	1
GABPB1	GM12878	1
GFI1	GM12878	1
IKZF3	GM12878	1
IL7R	GM12878	1
ITGA4	GM12878	1
ITGB1	GM12878	1
LEF1	GM12878	1
MS4A1	GM12878	1
NFKB1	GM12878	1
PAX5	GM12878	1
PRDM1	GM12878	1
PTPRC	GM12878	1
PTPRJ	GM12878	1
SDC1	GM12878	1
SOX4	GM12878	1
STAT3	GM12878	1
TCF3	GM12878	1
TNF	GM12878	1
TNFRSF13B	GM12878	1
XBP1	GM12878	1
CNOT3	H1-hESC	1
ENY2	H1-hESC	1
ESRRB	H1-hESC	1
FIP1L1	H1-hESC	1
FOXD3	H1-hESC	1
GDF3	H1-hESC	1
KLF2	H1-hESC	1
KLF4	H1-hESC	1
KLF5	H1-hESC	1
LIF	H1-hESC	1
MGA	H1-hESC	1
MYC	H1-hESC	1
NACC1	H1-hESC	1
NANOG	H1-hESC	1
NCL	H1-hESC	1
NR0B1	H1-hESC	1
PCGF6	H1-hESC	1
PCID2	H1-hESC	1
POU5F1	H1-hESC	1
PRDM14	H1-hESC	1
SALL4	H1-hESC	1
SMAD1	H1-hESC	1
SMC1A	H1-hESC	1
SMC2	H1-hESC	1
SOX2	H1-hESC	1
STAT3	H1-hESC	1
TBX3	H1-hESC	1
TCF3	H1-hESC	1
TCL1A	H1-hESC	1
TERT	H1-hESC	1
TET1	H1-hESC	1
TFCP2L1	H1-hESC	1
TRIM28	H1-hESC	1
ZFP42	H1-hESC	1
ZFX	H1-hESC	1
ZNF281	H1-hESC	1
CBX4	HMEC	1
CDH1	HMEC	1
CDSN	HMEC	1
EHF	HMEC	1
ELF3	HMEC	1
F11R	HMEC	1
GRHL3	HMEC	1
HR	HMEC	1
ITGA6	HMEC	1
KLF4	HMEC	1
KLF5	HMEC	1
KRT14	HMEC	1
KRT18	HMEC	1
KRT5	HMEC	1
KRT8	HMEC	1
NGFR	HMEC	1
PAX6	HMEC	1
PLCG1	HMEC	1
PRDM1	HMEC	1
PRSS8	HMEC	1
SOX9	HMEC	1
TGFBR2	HMEC	1
TP63	HMEC	1
VDR	HMEC	1
WNT7A	HMEC	1
EMD	HSMM	1
EYA1	HSMM	1
EYA2	HSMM	1
GLI2	HSMM	1
LEMD2	HSMM	1
MAPK12	HSMM	1
MEF2A	HSMM	1
MEF2C	HSMM	1
