gene_id	CD34_FPKM	GM12878_FPKM	H1-hESC_FPKM	HMEC_FPKM	HSMM_FPKM	HUVEC_FPKM	MRG_FPKM	neural_FPKM	NHLF_FPKM	MSC_FPKM
5S_rRNA	287.4058	334.7682	42.65735	0.0	0.0	23.28221	0.0	0.0	0.0	0.0
5_8S_rRNA	0.0	0.0	0.0	0.0	0.0	14.94411	0.0	0.0	15.41286	0.0
6M1-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7M1-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7SK	46.12316	17.08497	12.42277	7.985034	17.2107	16.36903	3.868023	44.51413	15.55288	6.175007
A1BG	4.919334	1.0561726	10.52783	1.543383	1.72247	0.8559193	11.453488	3.866858	1.929132	29.50148
A1BG-AS1	4.271342	2.032785	2.725396	5.556625	4.545848	2.596907	3.827679	2.782484	5.996852	7.731397
A1CF	0.0	0.027892543	0.000730758	0.0	0.00619686	0.0	0.0	0.038334213	0.008112413	0.0
A2M	0.13265929	0.019725544	0.015535564	3.209047	7.962775	5.954786	13.57622	0.03254979	0.4069658	17.29428
A2M-AS1	2.346553	0.13903514	0.5259309	0.3377652	1.0141415	1.0041916	1.4383354	0.5961655	0.04844532	1.2602873
A2ML1	0.014321042	0.008591954	5.776842	15.82374	0.010554016	0.0	0.04472423	0.04557229	0.0	0.04394878
A2MP1	0.5023062	0.0	0.0018075353	0.0	0.038223572	0.0	0.0119125607	0.0	0.0	0.0
A3GALT2	0.025826163	0.0	0.005684404	0.0	0.010925498	0.15271309	0.12838298	0.15979874	0.018284799	0.18833853
A4GALT	0.1692564	2.197177	10.689302	3.998987	7.025295	9.180059	1.2562318	0.0	1.977359	9.327006
A4GNT	0.05331666	0.002834529	0.000949408	0.05961943	0.05795615	0.11853884	0.0	0.0	0.18347766	0.06464487
AA06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAAS	19.28402	24.16756	54.20914	38.37742	26.10089	43.82044	44.51413	38.68903	22.54467	16.9017
AACS	5.383594	8.463213	42.49524	29.23953	9.260195	26.30453	9.522779	17.12078	13.39519	10.853666
AACSP1	0.0	1.2660626	0.027692743	0.0	0.0	0.0	0.414435	0.05893946	0.0	0.0
AADAC	0.0	0.0	0.0	0.025676395	0.0	0.5588025	0.0	0.0	0.010314668	0.3504639
AADACL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL3	0.0	0.0	0.16467287	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL4	0.0	0.0	0.03137912	0.0	0.012680356	0.015786085	0.0	0.0	0.08911451	0.0
AADAT	7.216539	0.04187451	3.654984	5.857551	5.8069	1.971802	8.155951	27.91646	7.469738	3.995454
AAED1	23.79517	6.049948	1.970777	7.197784	9.416463	5.422952	0.7133037	0.07418254	4.885145	14.05446
AAGAB	9.311298	18.2423	7.84873	14.24306	17.26935	9.756799	18.19682	30.61726	21.92453	13.11448
AAK1	4.156259	3.743128	5.429488	13.23884	14.21227	16.75662	3.865187	6.455711	8.63433	21.04984
AAMDC	32.83074	3.177996	12.85368	10.502098	20.35519	23.82278	11.710975	4.068338	30.41012	124.2706
AAMP	37.61117	28.49384	72.07496	71.71518	47.35471	43.72229	58.39471	94.43378	39.49223	34.72151
AANAT	0.10738109	0.05795615	0.2722866	0.3044795	0.13279917	0.07544755	0.2320945	0.03187776	0.12983988	0.0
AAR2	9.438939	16.04188	27.02879	22.39174	22.66941	25.52564	23.19635	13.16921	19.59059	12.44008
AARD	0.16264508	0.3188571	0.3733936	4.59683	0.06451685	0.0	0.19829184	0.306195	0.06525885	0.19317904
AARS	16.53161	62.18701	109.28219	75.25066	67.932	50.09379	37.65031	17.35151	133.6864	27.40593
AARS2	6.006794	5.050908	8.388018	7.33966	2.990407	6.543835	6.589822	7.253544	4.184208	4.834522
AARSD1	20.19189	23.84722	23.63466	20.93562	22.20342	19.11671	16.55711	18.88249	18.4231	18.58019
AASDH	6.456398	11.677336	4.999976	4.746936	3.813192	3.781777	1.819864	10.539913	7.319373	2.222492
AASDHPPT	13.90677	45.19407	10.833507	20.05327	32.15167	11.232217	20.71107	204.8239	37.40475	16.33193
AASS	13.29525	4.704496	79.48245	1.3845125	2.412921	4.896819	10.892989	4.183445	6.594907	5.907552
AATF	34.59822	23.76534	15.10306	15.09643	15.05758	9.397346	16.51052	5.665598	11.468022	17.64765
AATK	1.1632638	0.05355153	1.1103087	0.3793581	0.04998982	0.5790042	3.016093	4.344154	0.20619168	0.3990425
AATK-AS1	0.017093895	0.0	0.014643307	0.0	0.0	0.0	0.12812835	0.1877384	0.0	0.0
AB000466	1.0381591	2.014534	0.3885795	6.041572	2.738421	1.877524	0.9222534	0.3219897	2.229781	1.780293
AB007962	0.13542381	0.12247865	0.01580559	0.03317097	0.007071429	0.008838962	0.016608496	0.4641644	0.13825599	0.040475116
AB059369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB062081	0.21142292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB062083	0.0	0.0	0.0	0.0	1.7067	0.0	0.0	0.0	0.0	0.0
AB073649	0.452722	0.0	0.5375883	0.1213073	0.014643307	0.03629483	0.014940147	0.15480691	0.005810775	0.0
AB074160	0.0	0.0	0.0031559648	0.0	0.0	0.0	0.009845169	6.65105	0.0	0.0
AB074162	0.22598163	2.090207	0.20137988	0.0990271	0.3168755	0.404577	0.07978823	0.18924487	0.4790205	0.2732918
AB074166	0.014867632	0.11199943	0.00029005	0.0	0.001991699	0.0	0.004279534	0.027020142	0.024987339	0.0
AB074188	0.0	0.13905487	0.2931789	0.0	0.0	0.0	0.810316	84.72539	0.0	0.0
AB075489	0.5070977	2.148412	0.15919006	0.20137988	6.269941	0.21554089	0.278584	0.1038322	0.19637122	0.09929114
AB075492	0.967578	0.9549002	0.3304474	0.277689	0.15572595	0.7636183	0.10717043	0.5553768	0.4035302	0.18353743
AB209061	2.197177	1.85195	0.0	1.998962	1.818316	2.325116	2.287252	2.276919	0.9091881	1.727482
AB209185	2.179736	7.596782	0.4589565	0.8598846	0.5791644	0.8522044	0.7283266	4.207236	1.782578	1.498984
AB209315	10.804851	10.163566	1.1502463	0.4699897	0.7096502	0.9101033	0.03418104	0.8788804	1.3279367	11.007026
AB209621	0.1491897	0.21176383	0.03354133	0.03603661	0.041098864	0.06439648	0.19770551	0.13136513	0.05505167	0.04112212
AB231702	0.09494774	0.0	0.0	0.0	0.0	0.19909859	0.0	0.06145686	0.0	0.0
AB231703	0.0	0.0	9.876662	0.0	0.0	0.0	0.0	0.0	0.506925	0.0
AB231705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB231710	0.0	0.6924196	0.0	0.0	0.0	0.0	0.0	0.0	2.829864	1.2492138
AB231711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB231721	0.0	0.0	8.832926	6.713115	23.22125	0.0	0.0	199.3235	0.8147648	0.0
AB231722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB231723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB231724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB231729	0.2915885	0.001218765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB231731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB231739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB231741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB231742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB231761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB231779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB231784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB240015	0.0	0.0	0.020273136	0.0	0.0	0.0	0.0	0.0	0.03591518	0.0
AB372727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB429224	0.0	0.0	0.00086119	0.0	0.0	0.0	0.0	0.0	0.014551816	0.0
AB488780	1.816468	1.730775	2.235101	1.1528639	2.30546	2.477482	1.4734844	2.794664	2.915678	2.701017
AB586698	3.74182	0.6491501	0.8506624	0.0	0.0	0.0	0.3881697	0.0	0.3365812	1.1138378
ABAT	4.031206	5.544657	5.064855	6.939769	8.321593	1.2583939	48.83198	70.9171	5.089811	1.515869
ABCA1	2.29024	0.11457036	2.639564	5.293606	4.127228	1.4452588	6.464332	2.674506	18.40477	19.8279
ABCA10	0.3280677	2.514523	0.0	0.17592894	0.009180194	0.4285168	0.009908469	4.18714	0.2585507	1.0282356
ABCA11P	2.782484	3.427656	0.9705406	2.846648	3.144737	2.003148	4.79028	9.883191	3.198015	2.458872
ABCA12	0.010115588	1.7067	0.000554062	8.078451	0.06790889	0.015566924	0.021771803	0.019630412	0.05144193	0.05968655
ABCA13	0.9395752	0.6859931	0.0034709278	1.2373188	0.016849927	0.06045288	0.07014717	0.0768283	0.10951053	0.0
ABCA17P	0.10775232	0.1702997	0.014654131	0.023685422	0.07479724	0.06214182	0.16120593	0.5664891	0.021296987	0.08158986
ABCA2	25.48291	0.920087	4.704496	7.543676	6.994109	9.393224	23.44645	10.262665	2.705232	10.275984
ABCA3	2.949631	0.9083048	6.355265	0.6483027	2.775339	13.80615	22.72369	13.3801	0.19885446	0.3849616
ABCA4	0.026440552	0.06532592	0.009026779	0.2877445	0.4479204	1.478054	0.144713	0.0	0.2688826	0.11990679
ABCA5	6.987294	12.311253	0.13110481	3.172418	0.21231155	3.637932	0.2749112	29.87756	3.07773	0.9398715
ABCA6	0.14293822	11.418091	0.0	0.3990425	0.0351647	5.452496	0.0	0.5189958	0.3479952	0.07337868
ABCA7	8.405593	2.673002	7.953632	4.480775	1.2721615	3.290256	14.71529	22.23251	0.8153646	4.361682
ABCA8	0.0	0.06340643	0.0	0.0	0.7468333	0.7505268	0.16242823	0.0	6.530322	0.272891
ABCA9	0.0685881	2.597777	0.000458903	0.06149453	0.0064376834	1.981209	0.16211406	0.367506	0.10022763	0.09024345
ABCB1	16.10167	5.44162	0.0470547	0.06319029	0.002078927	3.519282	0.17725711	0.11071791	1.4195855	2.052719
ABCB10	12.386439	11.842541	1.759334	7.904078	5.462567	4.971931	1.722061	13.99758	5.529977	5.947994
ABCB11	0.10685112	0.0	0.0	0.013310862	0.0	0.3207712	0.004195913	0.0	0.0	0.0
ABCB4	0.16467287	2.913928	0.11636543	0.019585148	0.05286079	0.04152579	0.2063637	0.0	0.06222122	0.18347766
ABCB5	0.2394909	0.008430045	0.000381893	0.018039981	0.00273504	0.013310862	0.03123931	0.0	0.0	0.13373637
ABCB6	2.278816	3.374707	18.02446	4.183445	5.411679	9.578782	3.486191	4.192828	6.475668	7.654876
ABCB7	18.85034	34.52759	12.79098	11.288464	11.074227	7.729837	6.853127	8.68923	12.8044	6.61917
